Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_17_97,VPWR,li1,51.9800,57.1200,1.799922
FILLER_17_85,VPWR,li1,47.3800,57.1200,1.799922
FILLER_17_78,VPWR,li1,42.7800,57.1200,1.799922
FILLER_17_65,VPWR,li1,35.8800,57.1200,1.799924
FILLER_17_57,VPWR,li1,33.5800,57.1200,1.799931
FILLER_17_53,VPWR,li1,30.5900,57.1200,1.799941
FILLER_17_41,VPWR,li1,27.1400,57.1200,1.799951
FILLER_17_29,VPWR,li1,21.6200,57.1200,1.799969
FILLER_17_27,VPWR,li1,18.1700,57.1200,1.799969
FILLER_17_15,VPWR,li1,15.1800,57.1200,1.799969
FILLER_17_3,VPWR,li1,9.6600,57.1200,1.799969
FILLER_16_97,VPWR,li1,51.9800,57.1200,1.799922
FILLER_16_85,VPWR,li1,47.3800,57.1200,1.799922
FILLER_16_80,VPWR,li1,43.2400,57.1200,1.799922
FILLER_16_53,VPWR,li1,30.8200,57.1200,1.799941
FILLER_16_41,VPWR,li1,27.1400,57.1200,1.799951
FILLER_16_29,VPWR,li1,21.6200,57.1200,1.799969
FILLER_16_27,VPWR,li1,18.1700,57.1200,1.799969
FILLER_16_15,VPWR,li1,15.1800,57.1200,1.799969
FILLER_16_3,VPWR,li1,9.6600,57.1200,1.799969
FILLER_15_104,VPWR,li1,53.5900,51.6800,1.799858
FILLER_15_68,VPWR,li1,37.4900,51.6800,1.799886
FILLER_15_57,VPWR,li1,31.9700,51.6800,1.799915
FILLER_15_55,VPWR,li1,31.0500,51.6800,1.799915
FILLER_15_47,VPWR,li1,28.9800,51.6800,1.799924
FILLER_15_30,VPWR,li1,22.0800,51.6800,1.799949
FILLER_15_18,VPWR,li1,16.5600,51.6800,1.799957
FILLER_15_6,VPWR,li1,11.0400,51.6800,1.799957
FILLER_14_97,VPWR,li1,51.9800,51.6800,1.799858
FILLER_14_85,VPWR,li1,47.3800,51.6800,1.799858
FILLER_14_83,VPWR,li1,43.9300,51.6800,1.799865
FILLER_14_77,VPWR,li1,42.3200,51.6800,1.799871
FILLER_14_73,VPWR,li1,39.3300,51.6800,1.799879
FILLER_14_65,VPWR,li1,37.2600,51.6800,1.799886
FILLER_14_53,VPWR,li1,32.6600,51.6800,1.799905
FILLER_14_29,VPWR,li1,20.2400,51.6800,1.799957
FILLER_14_27,VPWR,li1,18.1700,51.6800,1.799957
FILLER_14_15,VPWR,li1,15.1800,51.6800,1.799957
FILLER_14_3,VPWR,li1,9.6600,51.6800,1.799957
FILLER_13_83,VPWR,li1,43.9300,46.2400,1.799868
FILLER_13_76,VPWR,li1,40.7100,46.2400,1.799875
FILLER_13_64,VPWR,li1,36.8000,46.2400,1.799883
FILLER_13_44,VPWR,li1,25.9900,46.2400,1.799922
FILLER_12_101,VPWR,li1,52.9000,46.2400,1.799857
FILLER_12_89,VPWR,li1,49.2200,46.2400,1.799857
